PERM IS: 0, 1, 2, 3, 4, 5, 6,  with a distance/cost of 11582
PERM IS: 0, 1, 2, 3, 4, 6, 5,  with a distance/cost of 12318
PERM IS: 0, 1, 2, 3, 5, 4, 6,  with a distance/cost of 10855
PERM IS: 0, 1, 2, 3, 5, 6, 4,  with a distance/cost of 11516
PERM IS: 0, 1, 2, 3, 6, 4, 5,  with a distance/cost of 11567
PERM IS: 0, 1, 2, 3, 6, 5, 4,  with a distance/cost of 11492
PERM IS: 0, 1, 2, 4, 3, 5, 6,  with a distance/cost of 13987
PERM IS: 0, 1, 2, 4, 3, 6, 5,  with a distance/cost of 14699
PERM IS: 0, 1, 2, 4, 5, 3, 6,  with a distance/cost of 13236
PERM IS: 0, 1, 2, 4, 5, 6, 3,  with a distance/cost of 12549
PERM IS: 0, 1, 2, 4, 6, 3, 5,  with a distance/cost of 13972
PERM IS: 0, 1, 2, 4, 6, 5, 3,  with a distance/cost of 12573
PERM IS: 0, 1, 2, 5, 3, 4, 6,  with a distance/cost of 13552
PERM IS: 0, 1, 2, 5, 3, 6, 4,  with a distance/cost of 13462
PERM IS: 0, 1, 2, 5, 4, 3, 6,  with a distance/cost of 13528
PERM IS: 0, 1, 2, 5, 4, 6, 3,  with a distance/cost of 12114
PERM IS: 0, 1, 2, 5, 6, 3, 4,  with a distance/cost of 14189
PERM IS: 0, 1, 2, 5, 6, 4, 3,  with a distance/cost of 12865
PERM IS: 0, 1, 2, 6, 3, 4, 5,  with a distance/cost of 13960
PERM IS: 0, 1, 2, 6, 3, 5, 4,  with a distance/cost of 13158
PERM IS: 0, 1, 2, 6, 4, 3, 5,  with a distance/cost of 13984
PERM IS: 0, 1, 2, 6, 4, 5, 3,  with a distance/cost of 11834
PERM IS: 0, 1, 2, 6, 5, 3, 4,  with a distance/cost of 13909
PERM IS: 0, 1, 2, 6, 5, 4, 3,  with a distance/cost of 12561
PERM IS: 0, 1, 3, 2, 4, 5, 6,  with a distance/cost of 11322
PERM IS: 0, 1, 3, 2, 4, 6, 5,  with a distance/cost of 12058
PERM IS: 0, 1, 3, 2, 5, 4, 6,  with a distance/cost of 10887
PERM IS: 0, 1, 3, 2, 5, 6, 4,  with a distance/cost of 11548
PERM IS: 0, 1, 3, 2, 6, 4, 5,  with a distance/cost of 11319
PERM IS: 0, 1, 3, 2, 6, 5, 4,  with a distance/cost of 11244
PERM IS: 0, 1, 3, 4, 2, 5, 6,  with a distance/cost of 14019
PERM IS: 0, 1, 3, 4, 2, 6, 5,  with a distance/cost of 14451
PERM IS: 0, 1, 3, 4, 5, 2, 6,  with a distance/cost of 13280
PERM IS: 0, 1, 3, 4, 5, 6, 2,  with a distance/cost of 11639
PERM IS: 0, 1, 3, 4, 6, 2, 5,  with a distance/cost of 14016
PERM IS: 0, 1, 3, 4, 6, 5, 2,  with a distance/cost of 11943
PERM IS: 0, 1, 3, 5, 2, 4, 6,  with a distance/cost of 13292
PERM IS: 0, 1, 3, 5, 2, 6, 4,  with a distance/cost of 13214
PERM IS: 0, 1, 3, 5, 4, 2, 6,  with a distance/cost of 12988
PERM IS: 0, 1, 3, 5, 4, 6, 2,  with a distance/cost of 10912
PERM IS: 0, 1, 3, 5, 6, 2, 4,  with a distance/cost of 13649
PERM IS: 0, 1, 3, 5, 6, 4, 2,  with a distance/cost of 11651
PERM IS: 0, 1, 3, 6, 2, 4, 5,  with a distance/cost of 13700
PERM IS: 0, 1, 3, 6, 2, 5, 4,  with a distance/cost of 13190
PERM IS: 0, 1, 3, 6, 4, 2, 5,  with a distance/cost of 14004
PERM IS: 0, 1, 3, 6, 4, 5, 2,  with a distance/cost of 11192
PERM IS: 0, 1, 3, 6, 5, 2, 4,  with a distance/cost of 13929
PERM IS: 0, 1, 3, 6, 5, 4, 2,  with a distance/cost of 11627
PERM IS: 0, 1, 4, 2, 3, 5, 6,  with a distance/cost of 11711
